|Name|Creature family|Source|Rarity|Size|Alignment|Trait|Level|Hp|Ac|Fortitude|Reflex|Will|Perception|Sense|Speed|
|[War Sauropelta](https://2e.aonprd.com/Monsters.aspx?ID=2120)||[Pathfinder #154: Siege of the Dinosaurs](https://2e.aonprd.com/Sources.aspx?ID=31) pg. 46|Uncommon|Large|N|[Animal](https://2e.aonprd.com/Traits.aspx?ID=9), [Dinosaur](https://2e.aonprd.com/Traits.aspx?ID=45), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|12|220|34|+25|+20|+22|+23|[low-light vision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=23)|25 feet|
|[Warden](https://2e.aonprd.com/NPCs.aspx?ID=920)|[Magistrates](https://2e.aonprd.com/MonsterFamilies.aspx?ID=189)|[Gamemastery Guide](https://2e.aonprd.com/Sources.aspx?ID=22) pg. 225|Common|Medium|LN|[Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|6|96|25|+12|+12|+12|+12||25 feet|
|[Warg](https://2e.aonprd.com/Monsters.aspx?ID=402)|[Warg](https://2e.aonprd.com/MonsterFamilies.aspx?ID=98)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 322|Common|Medium|NE|[Beast](https://2e.aonprd.com/Traits.aspx?ID=20)|2|36|17|+11|+9|+6|+8|darkvision, scent (imprecise) 30 feet|40 feet|
|[Warsworn](https://2e.aonprd.com/Monsters.aspx?ID=404)||[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 323|Uncommon|Gargantuan|NE|[Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159), [Undead](https://2e.aonprd.com/Traits.aspx?ID=160)|16|350 ( negative healing )|37|+29|+25|+27|+27|darkvision|30 feet|
|[Wasp Swarm](https://2e.aonprd.com/Monsters.aspx?ID=406)|[Wasp](https://2e.aonprd.com/MonsterFamilies.aspx?ID=99)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 324|Common|Large|N|[Animal](https://2e.aonprd.com/Traits.aspx?ID=9), [Swarm](https://2e.aonprd.com/Traits.aspx?ID=239)|4|45|18|+10|+12|+8|+10|darkvision|20 feet, fly 40 feet|
|[Watch Officer](https://2e.aonprd.com/NPCs.aspx?ID=936)|[Officers](https://2e.aonprd.com/MonsterFamilies.aspx?ID=192)|[Gamemastery Guide](https://2e.aonprd.com/Sources.aspx?ID=22) pg. 234|Common|Medium|LN|[Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|3|45|20|+10|+6|+8|+8|(9 to [Sense Motive](https://2e.aonprd.com/Actions.aspx?ID=85))|25 feet|
|[Water Mephit](https://2e.aonprd.com/Monsters.aspx?ID=195)|[Elemental, Mephit](https://2e.aonprd.com/MonsterFamilies.aspx?ID=44)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 151|Common|Small|N|[Aquatic](https://2e.aonprd.com/Traits.aspx?ID=168), [Elemental](https://2e.aonprd.com/Traits.aspx?ID=57), [Water](https://2e.aonprd.com/Traits.aspx?ID=165)|1|20 ( fast healing 2 (while underwater))|16|+7|+11|+4|+3|darkvision|20 feet, fly 25 feet, swim 25 feet|
|[Water Orm](https://2e.aonprd.com/Monsters.aspx?ID=856)||[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 289<br><br>2.0|Rare|Huge|N|[Aquatic](https://2e.aonprd.com/Traits.aspx?ID=168), [Beast](https://2e.aonprd.com/Traits.aspx?ID=20), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137), [Water](https://2e.aonprd.com/Traits.aspx?ID=165)|10|170|30|+21|+19|+17|+21|darkvision|20 feet, swim 50 feet|
|[Water Wisp](https://2e.aonprd.com/Monsters.aspx?ID=1145)|[Elemental, Wisp](https://2e.aonprd.com/MonsterFamilies.aspx?ID=232)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 91|Common|Tiny|N|[Elemental](https://2e.aonprd.com/Traits.aspx?ID=57), [Water](https://2e.aonprd.com/Traits.aspx?ID=165)|0|20|14|+8|+4|+4|+6|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), mist vision|25 feet, swim 25 feet|
|[Water Yai](https://2e.aonprd.com/Monsters.aspx?ID=749)|[Oni](https://2e.aonprd.com/MonsterFamilies.aspx?ID=144)|[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 191<br><br>2.0|Common|Huge|CE|[Fiend](https://2e.aonprd.com/Traits.aspx?ID=70), [Giant](https://2e.aonprd.com/Traits.aspx?ID=79), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Oni](https://2e.aonprd.com/Traits.aspx?ID=303), [Water](https://2e.aonprd.com/Traits.aspx?ID=165)|17|295|40|+27|+29|+34|+32|[greater darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|40 feet, fly 40 feet, swim 50 feet; [_water walk_](https://2e.aonprd.com/Spells.aspx?ID=371)|
|[Wayang Whisperblade](https://2e.aonprd.com/Monsters.aspx?ID=1363)|[Wayang](https://2e.aonprd.com/MonsterFamilies.aspx?ID=276)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 290|Uncommon|Small|N|[Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Shadow](https://2e.aonprd.com/Traits.aspx?ID=143), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159), [Wayang](https://2e.aonprd.com/Traits.aspx?ID=370)|1|19|16|+6|+9|+5|+9|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|25 feet|
|[Weapon Master](https://2e.aonprd.com/NPCs.aspx?ID=1449)||[Pathfinder #166: Despair on Danger Island](https://2e.aonprd.com/Sources.aspx?ID=85) pg. 22|Uncommon|Medium|N|[Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|13|250|33|+26|+22|+24|+23||25 feet|
|[Weasel](https://2e.aonprd.com/Monsters.aspx?ID=1364)|[Weasel](https://2e.aonprd.com/MonsterFamilies.aspx?ID=277)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 291|Common|Tiny|N|[Animal](https://2e.aonprd.com/Traits.aspx?ID=9)|-1|7|15|+4|+7|+2|+4|[low-light vision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=23), [scent](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33) (imprecise) 60 feet|25 feet|
|[Web Lurker](https://2e.aonprd.com/Monsters.aspx?ID=407)||[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 325|Common|Medium|NE|[Aberration](https://2e.aonprd.com/Traits.aspx?ID=1)|3|45|19|+10|+11|+8|+10|darkvision, tremorsense (imprecise) 30 feet (creatures touching its web)|25 feet, climb 25 feet|
|[Wemmuth](https://2e.aonprd.com/Monsters.aspx?ID=408)||[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 326|Common|Huge|NE|[Plant](https://2e.aonprd.com/Traits.aspx?ID=125)|15|335 (blood leech)|37|+27|+27|+24|+25|darkvision, tremorsense (imprecise) 60 feet|25 feet, burrow 25 feet, climb 25 feet|
|[Wendigo](https://2e.aonprd.com/Monsters.aspx?ID=409)||[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 327|Uncommon|Large|CE|[Beast](https://2e.aonprd.com/Traits.aspx?ID=20), [Cold](https://2e.aonprd.com/Traits.aspx?ID=27), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|17|315|40|+32|+30|+26|+32|darkvision, heatsight 60 feet|fly 100 feet|
|[Wereant Disciple](https://2e.aonprd.com/Monsters.aspx?ID=1800)|[Werecreature, Wereant](https://2e.aonprd.com/MonsterFamilies.aspx?ID=302)|[Pathfinder #174: Shadows of the Ancients](https://2e.aonprd.com/Sources.aspx?ID=115) pg. 86|Rare|Medium|LE|[Beast](https://2e.aonprd.com/Traits.aspx?ID=20), [Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137), [Werecreature](https://2e.aonprd.com/Traits.aspx?ID=243)|16|305|39|+28|+30|+25|+28|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [scent](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33) (imprecise) 30 feet|40 feet, fly 60 feet|
|[Wereant Poisoner](https://2e.aonprd.com/Monsters.aspx?ID=1801)|[Werecreature, Wereant](https://2e.aonprd.com/MonsterFamilies.aspx?ID=302)|[Pathfinder #174: Shadows of the Ancients](https://2e.aonprd.com/Sources.aspx?ID=115) pg. 87|Rare|Medium|LE|[Beast](https://2e.aonprd.com/Traits.aspx?ID=20), [Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137), [Werecreature](https://2e.aonprd.com/Traits.aspx?ID=243)|17|350|40|+27|+32|+29|+29|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [scent](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33) (imprecise) 30 feet|40 feet|
|[Wereant Sentinel](https://2e.aonprd.com/Monsters.aspx?ID=1812)||[Pathfinder #174: Shadows of the Ancients](https://2e.aonprd.com/Sources.aspx?ID=115) pg. 50|Rare|Medium|LE|[Beast](https://2e.aonprd.com/Traits.aspx?ID=20), [Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137), [Werecreature](https://2e.aonprd.com/Traits.aspx?ID=243)|19|400|43|+35|+29|+32|+32|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [scent](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33) (imprecise) 30 feet|40 feet|
|[Werebat](https://2e.aonprd.com/Monsters.aspx?ID=1366)|[Werecreature](https://2e.aonprd.com/MonsterFamilies.aspx?ID=100)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 292|Common|Medium|NE|[Beast](https://2e.aonprd.com/Traits.aspx?ID=20), [Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Werecreature](https://2e.aonprd.com/Traits.aspx?ID=243)|2|35|18|+9|+10|+7|+9|echolocation (precise) 40 feet, [low-light vision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=23)|25 feet, fly 25 feet|
|[Werebear](https://2e.aonprd.com/Monsters.aspx?ID=412)|[Werecreature](https://2e.aonprd.com/MonsterFamilies.aspx?ID=100)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 331|Uncommon|Large|LG|[Beast](https://2e.aonprd.com/Traits.aspx?ID=20), [Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159), [Werecreature](https://2e.aonprd.com/Traits.aspx?ID=243)|4|75|23|+12|+10|+10|+11|low-light vision, scent (imprecise) 30 feet|25 feet|
|[Wereboar](https://2e.aonprd.com/Monsters.aspx?ID=857)|[Werecreature](https://2e.aonprd.com/MonsterFamilies.aspx?ID=100)|[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 290<br><br>2.0|Common|Medium|CN|[Beast](https://2e.aonprd.com/Traits.aspx?ID=20), [Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Werecreature](https://2e.aonprd.com/Traits.aspx?ID=243)|2|45|18|+10|+5|+8|+8|[low-light vision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=23), [scent (imprecise) 30 feet](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33)|25 feet|
|[Werecrocodile](https://2e.aonprd.com/Monsters.aspx?ID=1367)|[Werecreature](https://2e.aonprd.com/MonsterFamilies.aspx?ID=100)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 293|Common|Large|NE|[Beast](https://2e.aonprd.com/Traits.aspx?ID=20), [Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Werecreature](https://2e.aonprd.com/Traits.aspx?ID=243)|2|55|16|+9|+5|+9|+7|[low-light vision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=23)|25 feet, swim 25 feet|
|[Wererat](https://2e.aonprd.com/Monsters.aspx?ID=410)|[Werecreature](https://2e.aonprd.com/MonsterFamilies.aspx?ID=100)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 329|Common|Medium|LE|[Beast](https://2e.aonprd.com/Traits.aspx?ID=20), [Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Werecreature](https://2e.aonprd.com/Traits.aspx?ID=243)|2|45|19|+6|+10|+8|+8|low-light vision, scent (imprecise) 30 feet|25 feet|
|[Weretiger](https://2e.aonprd.com/Monsters.aspx?ID=858)|[Werecreature](https://2e.aonprd.com/MonsterFamilies.aspx?ID=100)|[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 291<br><br>2.0|Common|Large|NE|[Beast](https://2e.aonprd.com/Traits.aspx?ID=20), [Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Werecreature](https://2e.aonprd.com/Traits.aspx?ID=243)|4|75|21|+11|+13|+9|+11|[low-light vision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=23), [scent (imprecise) 30 feet](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33)|25 feet|
|[Werewolf](https://2e.aonprd.com/Monsters.aspx?ID=411)|[Werecreature](https://2e.aonprd.com/MonsterFamilies.aspx?ID=100)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 330|Common|Medium|CE|[Beast](https://2e.aonprd.com/Traits.aspx?ID=20), [Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Werecreature](https://2e.aonprd.com/Traits.aspx?ID=243)|3|63|19|+11|+9|+7|+9|low-light vision, scent (imprecise) 30 feet|25 feet|
|[Weykoward](https://2e.aonprd.com/Monsters.aspx?ID=1816)||[Pathfinder #177: Burning Tundra](https://2e.aonprd.com/Sources.aspx?ID=116) pg. 83|Uncommon|Medium|N|[Construct](https://2e.aonprd.com/Traits.aspx?ID=35), [Mindless](https://2e.aonprd.com/Traits.aspx?ID=108), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|10|145|29|+23|+19|+16|+18|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|25 feet|
|[Wheel Archon](https://2e.aonprd.com/Monsters.aspx?ID=2079)|[Archon](https://2e.aonprd.com/MonsterFamilies.aspx?ID=9)|[Pathfinder #183: Field of Maidens](https://2e.aonprd.com/Sources.aspx?ID=145) pg. 82|Rare|Huge|LG|[Archon](https://2e.aonprd.com/Traits.aspx?ID=13), [Celestial](https://2e.aonprd.com/Traits.aspx?ID=23), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137)|16|230|41|+26|+31|+28|+28|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [_discern lies_](https://2e.aonprd.com/Spells.aspx?ID=74), [_true seeing_](https://2e.aonprd.com/Spells.aspx?ID=344)|fly 50 feet|
|[Whimwyrm](https://2e.aonprd.com/Monsters.aspx?ID=2211)||[Kingmaker Adventure Path](https://2e.aonprd.com/Sources.aspx?ID=150) pg. 615|Rare|Medium|CN|[Air](https://2e.aonprd.com/Traits.aspx?ID=5), [Dragon](https://2e.aonprd.com/Traits.aspx?ID=50), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137)|17|280|42|+29|+34|+29|+31|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), fog vision, [scent](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33) (imprecise) 30 feet|30 feet, fly 60 feet|
|[Whipping Willow](https://2e.aonprd.com/Monsters.aspx?ID=2673)|[Elemental, Wood](https://2e.aonprd.com/MonsterFamilies.aspx?ID=345)|[Rage of Elements](https://2e.aonprd.com/Sources.aspx?ID=205) pg. 207|Common|Medium||[Elemental](https://2e.aonprd.com/Traits.aspx?ID=57), [Plant](https://2e.aonprd.com/Traits.aspx?ID=125), [Wood](https://2e.aonprd.com/Traits.aspx?ID=508)|4|75|20|+10|+8|+14|+11||30 feet, climb 40 feet|
|[Wight](https://2e.aonprd.com/Monsters.aspx?ID=413)|[Wight](https://2e.aonprd.com/MonsterFamilies.aspx?ID=163)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 332|Common|Medium|LE|[Undead](https://2e.aonprd.com/Traits.aspx?ID=160), [Wight](https://2e.aonprd.com/Traits.aspx?ID=259)|3|50 ( negative healing )|18|+11|+6|+10|+10|darkvision|25 feet|
|[Wight Commander](https://2e.aonprd.com/Monsters.aspx?ID=1917)|[Wight](https://2e.aonprd.com/MonsterFamilies.aspx?ID=163)|[Book of the Dead](https://2e.aonprd.com/Sources.aspx?ID=118) pg. 169|Rare|Medium|LE|[Rare](https://2e.aonprd.com/Traits.aspx?ID=137), [Undead](https://2e.aonprd.com/Traits.aspx?ID=160), [Wight](https://2e.aonprd.com/Traits.aspx?ID=259)|12|220 ( negative healing )|32|+24|+19|+21|+22|(+26 when rolling initiative) [darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|25 feet|
|[Wight Cultist](https://2e.aonprd.com/Monsters.aspx?ID=2116)||[Pathfinder #154: Siege of the Dinosaurs](https://2e.aonprd.com/Sources.aspx?ID=31) pg. 34|Rare|Medium|NE|[Rare](https://2e.aonprd.com/Traits.aspx?ID=137), [Undead](https://2e.aonprd.com/Traits.aspx?ID=160)|12|235 ( negative healing )|32|+24|+20|+22|+22|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|25 feet|
|[Wihsaak](https://2e.aonprd.com/Monsters.aspx?ID=1282)|[Sahkil](https://2e.aonprd.com/MonsterFamilies.aspx?ID=208)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 220|Common|Medium|NE|[Fiend](https://2e.aonprd.com/Traits.aspx?ID=70), [Sahkil](https://2e.aonprd.com/Traits.aspx?ID=333)|6|105|24|+14|+15|+14|+14|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|30 feet, fly 40 feet|
|[Wild Hunt Archer](https://2e.aonprd.com/Monsters.aspx?ID=2214)|[Wild Hunt](https://2e.aonprd.com/MonsterFamilies.aspx?ID=323)|[Kingmaker Adventure Path](https://2e.aonprd.com/Sources.aspx?ID=150) pg. 618|Rare|Medium|CN|[Fey](https://2e.aonprd.com/Traits.aspx?ID=69), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137), [Wild Hunt](https://2e.aonprd.com/Traits.aspx?ID=435)|16|340|39|+26|+32|+28|+30|[greater darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), greensight, [scent](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33) (imprecise) 30 feet, [_true seeing_](https://2e.aonprd.com/Spells.aspx?ID=344)|25 feet|
|[Wild Hunt Horse](https://2e.aonprd.com/Monsters.aspx?ID=2213)|[Wild Hunt](https://2e.aonprd.com/MonsterFamilies.aspx?ID=323)|[Kingmaker Adventure Path](https://2e.aonprd.com/Sources.aspx?ID=150) pg. 617|Rare|Large|CN|[Fey](https://2e.aonprd.com/Traits.aspx?ID=69), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137), [Wild Hunt](https://2e.aonprd.com/Traits.aspx?ID=435)|15|320|37|+27|+23|+29|+29|[greater darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), greensight, [scent](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33) (imprecise) 30 feet|80 feet, fly 80 feet|
|[Wild Hunt Hound](https://2e.aonprd.com/Monsters.aspx?ID=2212)|[Wild Hunt](https://2e.aonprd.com/MonsterFamilies.aspx?ID=323)|[Kingmaker Adventure Path](https://2e.aonprd.com/Sources.aspx?ID=150) pg. 616|Rare|Medium|CN|[Fey](https://2e.aonprd.com/Traits.aspx?ID=69), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137), [Wild Hunt](https://2e.aonprd.com/Traits.aspx?ID=435)|14|300|36|+27|+24|+25|+29|[greater darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), greensight, [scent](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33)|50 feet|
|[Wild Hunt Monarch](https://2e.aonprd.com/Monsters.aspx?ID=2216)|[Wild Hunt](https://2e.aonprd.com/MonsterFamilies.aspx?ID=323)|[Kingmaker Adventure Path](https://2e.aonprd.com/Sources.aspx?ID=150) pg. 620|Rare|Medium|CN|[Fey](https://2e.aonprd.com/Traits.aspx?ID=69), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137), [Wild Hunt](https://2e.aonprd.com/Traits.aspx?ID=435)|20|450|46|+33|+32|+35|+35|[greater darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), greensight, [scent](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33) (imprecise) 30 feet|40 feet|
|[Wild Hunt Scout](https://2e.aonprd.com/Monsters.aspx?ID=2215)|[Wild Hunt](https://2e.aonprd.com/MonsterFamilies.aspx?ID=323)|[Kingmaker Adventure Path](https://2e.aonprd.com/Sources.aspx?ID=150) pg. 619|Rare|Medium|CN|[Fey](https://2e.aonprd.com/Traits.aspx?ID=69), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137), [Wild Hunt](https://2e.aonprd.com/Traits.aspx?ID=435)|18|380|42|+28|+30|+34|+34|[greater darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), greensight, [scent](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33) (imprecise) 30 feet|40 feet|
|[Will-o’-Wisp](https://2e.aonprd.com/Monsters.aspx?ID=414)|[Wisp](https://2e.aonprd.com/MonsterFamilies.aspx?ID=210)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 333|Common|Small|CE|[Aberration](https://2e.aonprd.com/Traits.aspx?ID=1), [Air](https://2e.aonprd.com/Traits.aspx?ID=5)|6|50|27|+10|+16|+14|+16|darkvision|fly 50 feet|
|[Winged Owlbear](https://2e.aonprd.com/Monsters.aspx?ID=2355)||[Kingmaker Adventure Path](https://2e.aonprd.com/Sources.aspx?ID=150) pg. 451|Common|Gargantuan|N|[Animal](https://2e.aonprd.com/Traits.aspx?ID=9)|18|380|41|+32|+30|+30|+32|[low-light vision](https://2e.aonprd.com/Monsters.aspx?ID=1969), [scent](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33) (imprecise) 30 feet|30 feet, fly 50 feet|
|[Winter Hag](https://2e.aonprd.com/Monsters.aspx?ID=1187)|[Hag](https://2e.aonprd.com/MonsterFamilies.aspx?ID=59)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 129|Common|Medium|CE|[Cold](https://2e.aonprd.com/Traits.aspx?ID=27), [Hag](https://2e.aonprd.com/Traits.aspx?ID=84), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|7|145|24|+14|+13|+16|+16|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [_see invisibility_](https://2e.aonprd.com/Spells.aspx?ID=271), snow vision|25 feet; ice climb 25 feet|
|[Winter Wolf](https://2e.aonprd.com/Monsters.aspx?ID=403)|[Warg](https://2e.aonprd.com/MonsterFamilies.aspx?ID=98)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 322|Common|Large|NE|[Beast](https://2e.aonprd.com/Traits.aspx?ID=20)|5|70|23|+13|+15|+10|+14|darkvision, scent (imprecise) 30 feet|40 feet|
|[Witchfire](https://2e.aonprd.com/Monsters.aspx?ID=860)||[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 293<br><br>2.0|Uncommon|Medium|CE|[Incorporeal](https://2e.aonprd.com/Traits.aspx?ID=222), [Spirit](https://2e.aonprd.com/Traits.aspx?ID=149), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159), [Undead](https://2e.aonprd.com/Traits.aspx?ID=160)|9|125 ( negative healing )|28|+15|+21|+18|+18|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|fly 40 feet|
|[Witchwyrd](https://2e.aonprd.com/Monsters.aspx?ID=861)||[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 294<br><br>2.0<br><br> , [Pathfinder #149: Against the Scarlet Triad](https://2e.aonprd.com/Sources.aspx?ID=14) pg. 90|Uncommon|Medium|LN|[Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|6|110|22|+13|+13|+15|+12|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|25 feet|
|[Withered](https://2e.aonprd.com/Monsters.aspx?ID=1922)|[Zombie](https://2e.aonprd.com/MonsterFamilies.aspx?ID=103)|[Book of the Dead](https://2e.aonprd.com/Sources.aspx?ID=118) pg. 172|Common|Medium|NE|[Undead](https://2e.aonprd.com/Traits.aspx?ID=160), [Zombie](https://2e.aonprd.com/Traits.aspx?ID=245)|5|80 ( negative healing )|22|+11|+13|+9|+11|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|35 feet|
|[Wizard Sponge](https://2e.aonprd.com/Monsters.aspx?ID=1368)||[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 294|Common|Large|N|[Fungus](https://2e.aonprd.com/Traits.aspx?ID=77), [Mindless](https://2e.aonprd.com/Traits.aspx?ID=108), [Swarm](https://2e.aonprd.com/Traits.aspx?ID=239)|5|65|20|+14|+13|+8|+10|no vision, [tremorsense](https://2e.aonprd.com/MonsterAbilities.aspx?ID=40) 60 feet|20 feet, climb 20 feet; suction|
|[Wolf](https://2e.aonprd.com/Monsters.aspx?ID=415)|[Wolf](https://2e.aonprd.com/MonsterFamilies.aspx?ID=101)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 334|Common|Medium|N|[Animal](https://2e.aonprd.com/Traits.aspx?ID=9)|1|24|15|+6|+9|+5|+7|low-light vision, scent (imprecise) 30 feet|35 feet|
|[Wolf Skeleton](https://2e.aonprd.com/Monsters.aspx?ID=1899)|[Skeleton](https://2e.aonprd.com/MonsterFamilies.aspx?ID=92)|[Book of the Dead](https://2e.aonprd.com/Sources.aspx?ID=118) pg. 147|Common|Medium|NE|[Mindless](https://2e.aonprd.com/Traits.aspx?ID=108), [Skeleton](https://2e.aonprd.com/Traits.aspx?ID=236), [Undead](https://2e.aonprd.com/Traits.aspx?ID=160)|0|12 ( negative healing )|16|+3|+8|+6|+8|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|35 feet|
