name,creature_summary,name_family,level
Swordkeeper,"Collectors who want to guard their magical arsenals procure or build swordkeepers. These constructs are equal parts display case and security system, each holding a single weapon within its body and projecting copies of the weapon it stores to deter would-be thieves.",,10
Sykever,"The most common darvakkas are sykevers, walkers in the night. Bloodthirsty but calculating, they lead legions of dead into battle on the Material Plane, working toward the simple goal of ending all life.",Darvakka,15
Sylph Sneak,"Born with elemental gales coursing through their breath, sylphs are wispy planar scions whose bodies seem caught in a perpetual, gentle breeze. Born of unions between mortals and djinn, sylphs are quick-witted and creative, but they are prone to flights of fancy and tend to be easily distracted. Sylphs are notorious for their practice of “listening to the wind,” which most others dismiss as a fancy name for eavesdropping. Yet this custom means much more to sylphs, who spend hours listening to the stories brought to them on the proverbial breeze. While some less scrupulous sylphs may use the information they learn to blackmail or abuse others, most of them see listening to the wind as their way of staying connected to the world around them while still keeping it comfortably at arm's length. Certainly the typical sylph sneak doesn't seek to use what they learn for ill, but instead tries to warn others of dangers yet unrealized or to prepare themself for a dangerous task.",Geniekin,1
Ta'apundo,"The First World still holds the first rough draft of many creatures in the Material Plane, but it's hard to tell what sort of creature the ta'apundo was ever intended to be. Its bark poses significant danger to metallic objects, as it converts any metal touching it into wood as fibrous and as flexible as its own body. Capricious and skittish, ta'apundos make friends easily but consider anyone who wields or wears metal to be a hated enemy.",,19
Taiga Giant,"Taiga giants prefer a nomadic lifestyle, both to keep from depleting any one area's resources while satiating their massive appetites and to satisfy a constant wanderlust. They are deeply spiritual and frequently commune with their ancestors' spirits for guidance and knowledge. Taiga giants are happiest when they are left alone to live out their traditional lives, and their impressive size and strength are enough to persuade all but the most dangerous foes to do so. Taiga giants subsist on migratory herds of aurochs, mammoths, and elk. They occasionally raid humanoid villages, but such cases are opportunistic rather than malicious, with a focus on stealing away livestock for food rather than people. Nevertheless, the arrival of a group of taiga giants is a potentially devastating event to any town or village, so many communities attempt to placate the giants by creating a yearly offering at those times when they know the giants are scheduled to come close. Most taiga giants venerate their ancestors and seek to honor their works in everything they do. This deep connection makes them ferociously proud of those legacies, and little can compel taiga giants to go to war more swiftly than insulting their ancestors. Merely mentioning the false rumors that ancient taiga giant spellcasters were responsible for the creation of the first rune giants is a surefire way to earn a taiga giant's unending wrath. A taiga giant stands 20 feet tall and weighs 10,000 pounds.",Giant,12
Taiga Linnorm,"Taiga linnorms are covered in hundreds of quill-like black spines as sharp as spears. Wise hunters native to linnorm-infested lands know to watch for spines stuck in the bark of conifers—a sure sign that a taiga linnorm has recently passed through. Sometimes this means of tracking isn't enough to avoid an encounter, however; taiga linnorms, like their tarn and tor brethren, are skilled stalkers. They prefer to lurk in half-frozen bogs or swampy marshlands with their heads poking just above the water's surface, ever watchful for unwary prey.",Linnorm,19
Taiga Yai,"Wearing the visage of taiga giants, taiga yais generally travel in a solitary fashion, always yearning for new experiences and destinations. They are zealous in their love of nature in its purest form and gleefully destroy any established civilizations that they encounter before continuing onwards.",Oni,15
Tallow Ooze,"Pale yellow and smelling of meat, this unnatural, globular monster is composed entirely of rendered animal fat. A tallow ooze typically results from magical mishaps during the creation of enchanted candles or soaps, or while rendering the fat of a magical beast, though occasionally spellcasters create these beings intentionally. A tallow ooze hunts other creatures to subsume them into its own body and absorb their fat. Since tallow is solid at room temperature, tallow oozes must metabolize their own bodies to produce enough heat to remain gelatinous. A tallow ooze that cannot replenish itself with absorbed fat will either consume itself or solidify, though a tallow ooze exposed to too much heat might melt entirely.",Ooze,11
Talos Gadgeteer,"The geniekin called taloses descend primarily from zuhra genies, metal elementals, and other denizens of the Plane of Metal. Many taloses mold their natural talent for metalwork into careers as tinkerers, miners, or smiths, although just as many leverage the luster of precious metals in a quest for fame and fortune. Taloses are among the most metropolitan of geniekin, often born in or drawn to cities of various sizes, especially those with advanced metalworking or technology trades. Metal often needs to be worked to find its form and function, which may explain why many taloses seem to enjoy living among people, if not necessarily socializing with them. They often find themselves stumbling into jobs somewhere along the production line of technology, whether it's mining the raw ore from the earth, working it into wires and gears, or constructing the devices themselves. Some taloses resent and reject the expectations that they fill such roles, but many embrace their fascination with tech, often going on to become expert inventors. Taloses are therefore far more likely than other geniekin to make use of clockwork technology in their communities. Despite having long inhabited Golarion, albeit in small numbers, taloses have only rarely been recognized as geniekin. The largest number of them, and also the largest number whose true nature is known, inhabit Tian Xia. The traditions of metal as an element have lived much longer there. Taloses often find themselves drawn to discussions and study of elemental metal the instant they hear of the concept. Historical records speak of renowned courtiers and diplomats with skin of flawless silver or bronze. In the Ivory Port of Goka, the smiths of the family-owned Dragon's Iron Forge craft their blades and firearms with magnetic techniques handed down from their zuhra sheikha ancestor. A talos gadgeteer is a clockwork tinkerer. When confronted, their preferred tactic is to lure opponents into traps using their lesser explosive mines before attempting to engage directly.",Planar Scion,1
Tantriog,"Wherever exquisite cuisine is consumed, amazing songs are performed, or epic waves crest, there wait tantriogs. With a crab's foreclaws, turtle's shell, and back flippers, tantriogs are among the more unique water elementals. They ply the Boundless Sea constantly seeking new experiences, whether the next big wave to ride, a tasty delicacy to sample, or a piece of art to collect. They crave new sensations and often seek them out at the expense of others. If one possesses rare art, lost lore, or fantastic surfing or cooking skills, a tantriog can be a wonderful companion. They're charming and friendly to those they find interesting, but their interest can be highly precarious, dropped the second someone bores them. Tantriogs may even betray acquaintances if it would give them another interesting story to tell. This makes befriending one a tricky proposition, as nothing can be taken for granted. It's a mystery how tantriogs came to wear their current forms. Some say that, in the earliest days of the elemental planes, tantriogs were assassins of ice and mist who committed a crime so great that they're being punished for it to this day. Others claim tantriogs assumed their shape after losing a bizarre cosmic bet. One of the more popular theories about the tantriog's current form is that in the past, they used to be able to shift shape as easily as water molds to its container. In their endless boredom, they were trying out a variety of shapes when a sudden curse (possibly cast by faydhaans) caused them to lose their ability while transforming from a turtle to a crab, leaving them stuck between the two. It's said that any who can teach a tantriog how to relearn their morphing ability could earn the elemental's undying friendship. Whatever the case, the surest way to anger a tantriog is to ask them about their appearance. Conversely, the surest way to befriend a tantriog is with compliments about their appearance or their skills. Don't be too fawning, though. Tantriogs don't like being tricked or made to look a fool.",,7
Tar Ooze,"When creatures carrying magical items die in a tar pit, the magic mixes with the tar itself. Over centuries, this energy animates the tar into a relentless and horrifying ooze. Tar oozes begin their existence in tar pits, naturally occurring lakes of thick and sticky petroleum. Tar pits make effective traps for animals and humanoids alike, as they're often covered with thin layers of dirt or grass or reflect sunlight in a way that resembles a watering hole. Once a creature steps or falls into the sticky tar of the pit, escape is all but impossible. Slowly, the caught creature—and any other victims lured near by its plaintive cries—sinks into the tar, suffocates, and dies. Magic inherent in a captive creature or carried in powerful magic items carried by the dead remains inside the tar, where it gathers, mixes, and slowly energizes it until it begins to move and seek prey. A tar ooze seeps slowly over the land, catching anything it touches in a sticky embrace and devouring it. Living things consumed by the ooze slowly have their flesh digested, only for the bones and fur to be replaced with blobs of sticky tar. These unnatural zombies eventually crawl away, hungry for flesh. Without a master to give them instructions, these tar zombies often follow the ooze that created them, swarming anyone bold or foolish enough to get in their way.",,10
Tar Zombie Mammoth,"Because their massive size makes them difficult for tar oozes to fully digest, tar zombie mammoths tend to resemble their living forms more closely than other tar zombies. However, this doesn't make them any less malignant than smaller tar zombies.","Zombie, Tar",9
Tar Zombie Predator,"A big predator, like a smilodon or dire wolf, might lurk near a tar pit to pick off helpless creatures. When consumed and returned to unlife by a tar ooze, these tar zombie predators are just as canny and vicious.","Zombie, Tar",7
Tar Zombie Snatcher,Humanoids consumed by a tar ooze become sticky warriors in the tar ooze's mindless procession. Some carry weapons.,"Zombie, Tar",6
Tarn Linnorm,"Although more powerful linnorms exist, the multi-headed tarn linnorm can wreak an awe-inspiring amount of devastation.",Linnorm,20
Tattoo Guardian,"Tattoo guardians are vigilant protectors drawn onto the skin of the individuals they are meant to protect. The creators of tattoo guardians typically animate them as they apply the tattoo using specific rituals and specialized inks, though more obscure rituals can animate a tattoo that's already been applied. Regardless of their animating method, tattoo guardians can temporarily remove themselves from their ward's skin and attack or even interpose themselves between their ward and any dangers. Most tattoo guardians remain on their ward and attack without separating. Tattoo guardians come in a variety of forms, taking the shape of religious symbols, powerful creatures, or more abstract shapes. Magic reinforces the bond between a tattoo guardian and its ward, and the death of the ward also brings about the tattoo guardian's destruction. A guardian that is destroyed while its ward lives reverts to a mundane tattoo—often scarred or otherwise marred. Familial or cultural traditions contribute to the meaning of a tattoo guardian's appearance. In many dwarven cultures, a given family or clan develops their own tattoo patterns and uses these in any tattoo guardians they make. It's especially common for members getting tattooed to ask for a tattoo patterned after one worn by a parent or other ancestor they greatly respect.",,3
Tatzlwyrm,"Tatzlwyrms resemble human-sized snakes with two arms and a dragon's head. Distant relatives of true dragons, tatzlwyrms possess only a meager level of intelligence. They can speak Draconic (with a thick, hissing accent), but their ability to reason is limited and they can't use magic. They do possess a level of cunning, however, and some have been known to build rudimentary traps and even lairs. They are not treasure-hoarders, though, so don't expect to find a tatzlwyrm sitting atop a bed of coins. Some tatzlwyrms have managed to forge working relationships with dragons, though it's a rare occurrence. From time to time, dragons have used them as messengers (because they can speak their language, however crudely), scouts (due to their smaller size), guides (when they're familiar with a particular mountain), and even muscle (harassing foes not worthy of a dragon's direct attention). Tatzlwyrms don't work with kobolds, though—tatzlwyrms eat kobolds. Tatzlwyrms hibernate in cold weather, and when they feel winter approaching they seek out underground lairs, mountain crevices, or even hay lofts. On one notable occasion, townsfolk reported being briefly overrun by tatzlwyrms after a conflict between spellcasters in the nearby hills caused a sudden blizzard. Local scholars still debate whether the cause of the influx was the sudden change in weather or if the creatures were drawn to one of the other magic users staying in town who were part of the same pilgrimage as those doing battle. When confronted, tatzlwyrms are more likely to attack than retreat. Indeed, they sometimes lie in wait on purpose, taking advantage of their scales' natural camouflage and awaiting the chance to unleash their signature move: belching poisonous vapor into an opponent's face. Since this breath attack doesn't have much range, the wyrms usually need to grab their foes first and bring them close to their mouth.",,2
Taunting Skull,Some beheaded are raised with their mental faculties mostly intact. These clever undead often provoke their victims into foolishly giving chase or harming themselves.,Beheaded,5
Tax Collector,"Ledgers and marks, positive and negative flows, and levies and allotments are a tax collector's daily bread. Where coin is gained, from whom it is collected, and to whom is it disbursed are their main concerns; the collector is unconcerned with whether the taxed can afford it or take a loan to make up for any shortfall. However, tax collectors aren't immune to corruption: arrangements can be made, deals discussed, documents altered, or coin misappropriated. When dealing with matters of taxes and finance, the tax collector is a 3rd-level challenge.",Magistrates,-1
Teacher,"The passing of knowledge and traditions from generation to generation is a time-honored occupation. Teachers exist to strengthen their populations with literacy, history, and advanced sciences, but most of all with inspiration. Most teachers provide general knowledge so their students are well rounded, but some are experts or even masters of a single discipline. A teacher typically knows three languages in addition to Common. For academic encounters, a teacher is a 4th-level challenge.",Scholars,-1
Temagyr,"Temagyrs embody the fear of nocturnal hunters—predators that stalk through the dark of night and attack when their prey is most vulnerable. Able to blend in with and step between shadows to surprise victims, temagyrs delight in ambush tactics. An average temagyr is 8 feet long and weighs 500 pounds but moves with unnatural fluidity and grace, the shadows they carry seeming to hang in the air behind them. In combat, a temagyr can take down opponents either with physical attacks or by taking bites out of their enemy's shadow. These shadow wounds, which remain visible unless healed, often perplex Material Plane doctors and investigators; a corpse from a temagyr attack can appear pristine, its tattered shadow the only clue to how it met its untimely fate.",Gorga,1
Tendriculos,"These strange amalgams of plant and fungus with animal tendencies form where the natural world is corrupted by foul magic or frayed planar boundaries. Tendriculoses are instinctive ambush predators who seek out lightly traveled forest paths and lie in wait in the undergrowth. A tendriculos swallows its prey as quickly as possible and lets its paralytic digestive juices finish the meal, while swiftly restoring itself with the nourishment provided by the trapped creature. When collected, neutralized, and refined, the digestive fluids of a tendriculos form a lacquer that retains some of the tendriculos's acid resistance. A tendriculos comes into being with a rudimentary understanding of the Sylvan language, but in some cases it might manifest knowing a different tongue, such as Aklo, Draconic, or even Necril. Regardless, tendriculoses have little patience for chattering from potential meals, though some determined fey and primal spellcasters have been known to form alliances or even closer bonds with tendriculoses. Befriending a tendriculos requires great patience and plentiful food—and these the gifts of food must be alive when handed over. When it has finished feeding and is out of combat, a tendriculos slips into a quiescent state for a full day, one of the few times it is safe to approach. Upon rousing, it seeks the deep forest to regurgitate the less digestible portions of its meal. These remains may contain valuables that survived digestion and indicate that a tendriculos's hunting grounds lie nearby. Tendriculoses dwell in deep woods and jungles. Those too near populated areas soon draw unwanted attention with their ravenous appetites. Well-fed tendriculoses develop fruiting bodies that cast forth millions of spores. Spores that happen to alight on carrion grow into new tendriculoses.",,7
Tenebric Giant,"Necromancers reaching for the greatest heights of experimentation know that creating a new terror requires exacting, careful work at every stage of the process. In the case of the tenebric giant, this process begins with a tomb giant who dies after consuming a dose of several poisons combined with the shadow ash reagent. This creates the right circumstances for a necromancer to raise them as a tenebric giant. They're particularly obedient to the will of the necromancer who created them and are charged full of energy from the Shadow Plane, which grants them new powers and abilities.",,17
Tengu Sneak,"Crow-like humanoids, tengus are a canny and clever people who can be found across all of Golarion. Tengus are used to being minorities and facing suspicion wherever they travel, so by necessity many possess a knack for languages as well as for blades. They live on the fringes of society and tend to flock toward less-than-legal occupations, earning them their reputation for being streetwise and unscrupulous—a label that, in turn, perpetuates the tengus’ oppressive cycle of discrimination and illegitimate work. Although humanoid, tengus have very distinct, birdlike features, and many would say that they resemble crows more than they do humans. They have strong, thick beaks, as well as sharp talons at the ends of their arms and legs. Most of a tengu’s body is covered in small feathers that range in color from dark brown and midnight blue to glossy black, with lighter colors being rare but not unheard of. Like many avian creatures, tengus have hollow bones, making them much lighter than other humanoids of their size, although few tengus possess the wings necessary to fly naturally. A tengu’s speech might be punctuated by quick clucks or throaty cawing, and many tengus practice conversation diligently to rid themselves of these involuntary ticks. Ruf  ing of the feathers and compulsive, jerky movements of the neck are other trademark habits. Tengus reproduce by laying eggs: the average tengu egg is about 11 inches in diameter and 16 inches tall and takes 4 months to hatch. Tengus are a people in diaspora and are almost always found within larger kingdoms and communities of other races. Perhaps because they are more visually distinctive than most other humanoid races, tengus tend to be distrusted and persecuted more often than, for example, elves or dwarves. As a result, tengus tend to gather in close-knit social groups composed of other outcasts and people of uncommon ancestry. Few true tengu communities exist, and those that do are often exiled to ghettos and other forgotten city quarters. From an early age, tengus learn that the world is not a friendly place and that they must look out for themselves.",,2
Tenome,"A tenome resembles an eyeless humanoid with rumpled, pale skin and a single eye embedded in each palm of its cadaverous hands. When they opens their disturbingly wide mouth, this sly, frightful predator's fangs hum and pulse with an eerie drone. Tenomes prefer to stalk urban environments; they often wear hooded cloaks or flowing robes to obscure their monstrous features, posing as beggars or corpses to blend in with society. When they attack, tenomes approach their victim with their palms outstretched, attempting to trap prey with their terrifying gaze. Once they seize their prey, tenomes vibrate their strange teeth rapidly as they feasts, emulsifying the bones into a digestible ooze that they slurps from a wound. Tenomes can be put at a disadvantage while hunting, as their vision is obscured when they have prey grabbed. Because of this, tenomes either wait for lone victims or hunts in packs. Members of these groups work together to secure meals for the entire pack and protect each other from being ambushed while feeding. There are rumors that if tenomes pluck the eyes from their victim and places one in each of the corpse's palms, the slain creature will rise as a new tenome the next nightfall. Even tenomes aren't sure of the truth of this rumor, as none remember their own origins, but they might mutilate the corpses of their victims this way in the hopes of creating a pack mate or to instill terror in those who discover the body.",,4
Teraphant,"Though teraphants may resemble an elephant from afar, teraphants lack the long incisors that mark other pachyderms. Instead, tusk-like horns grow from their forehead. Native to Vudra, teraphants are occasionally found in Jalmeray and Nex, brought as rare gifts for nobles. These placid herbivores' resonant psychic powers warn them against creatures approaching with ill intent. Faced with strong, sustained emotions, teraphants may find themselves responding in kind, which sometimes drive them into a fearsome rage against aggressive foes.",,9
Terotricus,"The legendary terotricus is a massive slime-mold that hails from the Abyss. Its collective consciousness encapsulates entire regions, spreading as far as its ever-growing cloud of spores will take it. Once it has seeped onto the Material Plane from the Abyssal realm, a terotricus’s agenda is to feed on all living creatures, infecting them with its spores, and its presence can spell doom for any in its way. Terotricuses move by rapidly expanding and contracting their slimy “bodies,” which are capable of burrowing through soil, gliding across water, and scrabbling up steep slopes. These behemoths of rot don’t need to travel to see their plans come to fruition, though; their spores easily latch onto demons and other denizens of the Abyss, who in turn bring this blight to the Material Plane when the fiends are summoned. When a terotricus infects a creature with its spores, web-like fungal growths start appearing on the victim’s skin until they cover the entire body, at which point the victim’s mind is also subdued and bent to the terotricus’s will. The terotricus’s favored victims include animals, elves, and fey, though it is happy to infect any creature it can catch. Cults of Treerazer occasionally attempt to make contact with a terotricus, but such acts almost always simply result in a new sect of spore-blighted slaves.",,19
Terra-Cotta Garrison,These constructed warriors can work together as a trained group to repel intruders.,Terra-Cotta Warrior,13
Terra-Cotta Soldier,A single terra-cotta warrior stands 6 feet tall and weighs 600 pounds.,Terra-Cotta Warrior,6
Terror Bird,"Common terror birds, also known as axe beaks, are notable hunters. On their own, they use their great speed to catch prey unawares. In a flock, they can swarm larger beasts like aurochs and take them down with overwhelming numbers.",Terror Bird,2
Terror Shrike,"The terror shrike, also known as the scythe beak, is a more powerful species of terror bird. Large terror bird flocks typically have one or two terror shrikes as leaders.",Terror Bird,4
Terrorguard,Spellcasters who harness the power of the Dimension of Dreams may use it to fuel vicious servitors known as terrorguards—hulking terrors adorned with frames made of an Abysium alloy. Terrorguards come in many forms; creators often design the constructs' frames to mimic grotesque aberrations by mixing-and-matching parts.,,14
Terwa Chosen,"Birthmarks, in the exact shape of constellations or abstract representations of them, are thought to signify a mighty destiny. These “chosen” put a faith in astrology that even some iruxis might call superstitious.",Lizardfolk,8
Terwa Prodigy,"Among the Terwa Lord clans, iruxis display immense, unrefined magical talent from a very young age. These abilities reveal themselves in a wide number of ways, but advanced spellcasting is the most common.",Lizardfolk,6
Terwa Star Reader,"While stargazers are important among all iruxi societies, Terwa star readers serve as lieutenants, advisors, and confidantes to important and influential members of the Terwa clans. Only one who is especially proud or foolish would turn away a star reader's counsel.",Lizardfolk,7
Thanadaemon,"Also known as the deacons of death, thanadaemons represent death via old age. They are among the most patient daemons, and prefer to bide their time to enact far-reaching, decades-long plans rather than fight (though they are still deadly foes). Like the Horseman of Death, they ply the waters of the River Styx in search of wayward souls. Rarely are thanadaemons seen without a trademark oar (which they wield as a bo staff), a tool they use to navigate the river's muck-ridden channels and turbulent rapids.",Daemon,13
Thanatotic Titan,"Thanatotic titans served as assassins in the war against the deities. They learned to sever their targets' divine connections, murdering mortal priests and divine heralds alike. Thanatotic titans were locked away in the Abyss, but some have freed themselves and crept out from the Abyss so they might continue their sprees of murder and mayhem. To this day, they seek out the faithful for slaughter.",Titan,22
Thasteron Khefak,"Thasteron khefaks are alchemically enhanced versions of standard khefaks, capable of converting the minerals they eat into thasteron. While thasteron remains highly valuable as fuel and for specialized weapons, finding an experienced thasteron khefak breeder is hard because the creatures become radioactive over time.",Khefak,3
Theater Phantasm,Theater phantasms are amalgamations of the spiritual and emotional energy given up by entertainers and audiences of powerful performances.,,16
Theletos,"Theletoses maintain the balance between fate and free will. A theletos is a roughly spherical mass of crystals from which emerge four limbs, each split at the elbow and ending in three-fingered hands. A pair of crystalline tentacles also emerges from its body. Those who have been damaged by a theletos's tentacles describe a disorienting dilemma as they simultaneously feel forced to make a single choice while also being overwhelmed by the endless options available to choose from. Theletoses are more likely than most aeons to interfere in non-aeon societies, particularly in regions with draconian laws. Their involvement is twofold; a theletos concerns itself with both the freedom of individuals and the laws that restrict these individuals, even (or especially) when the two are in opposition.",Aeon,7
Thrasfyr,"As bizarre in appearance as they are ferocious, thrasfyrs resemble six-limbed bears with bull-like horns, draconic scales, and a fire-breathing serpent for a tail. Every thrasfyr is wrapped in animated chains psychically linked to the creature's mind.",,17
Three-Toed Sloth,"The diminutive three-toed sloth is a solitary, tree-dwelling creature. Possessing a gentle nature and unassuming countenance, it has little to defend itself with other than its surprisingly fearsome climbing claws. These sloths are sometimes used as lookouts by secretive druid enclaves, as the symbiotic algae in their fur makes them difficult to spot in tree canopies, though their slow speed leaves them vulnerable on the ground.",Sloth,-1
Thulgant,"Although they spend most of their time hunting and battling demons for control of the Abyss, thulgants amuse themselves with a variety of diversions, such as maintaining galleries of petrified mortals or building massive, hive-like lairs filled with enslaved minions. Each of these qlippoth is a horrific tangle of limbs, with spiderlike legs, writhing tentacles emerging from the top of its head, and three scorpion-like stingers.",Qlippoth,18
Thunderbird,"Thunderbirds bring storms on their wings. In times of drought, they are welcomed. Other times, they are offered gifts in hopes they might leave before flooding begins. When angered, they call down hurricanes and lay waste to entire villages, so many settlements conduct extensive rites to appease and honor local thunderbirds. Thunderbird parents carry their newly hatched offspring to hidden mountaintop nests, where the young are struck by their first bolts of lightning and learn the mysteries of the storm.",,11
Thylacine,"A thylacine can be easily mistaken for a dog or jackal, but the defining stripes on their gold-hued backs and unusually wide gaping jaws negate this perception in close encounters. A thylacine is quite vocal, and uses a combination of growls, hisses, and gaping threat-yawns when threatened. An adult thylacine stands 2 feet tall at the shoulder, is 4 feet long (not counting an additional 2 feet of tail) and weighs roughly 50 pounds.The thylacine is a marsupial carnivore. This nocturnal predator typically hunts alone, only occasionally forming small packs. Because of their odd appearance, thylacines have a far harsher reputation than they probably should, playing a sort of bogeyman role in farming communities.",Thylacine,0
Tick Swarm,This swarm of thousands of fist-sized ticks forms a moving carpet of bloated insects—a nauseating and intimidating sight.,Tick,9
Tidal Master,Tidal masters use their power over waves and water to drown their enemies.,"Elemental, Water",9
Tiddalik,"Tiddaliks are giant, drought-causing monstrosities resembling grossly swollen frogs. They travel through the land, sniffing out water to gorge themselves on. Upon finding a source, the tiddalik submerges itself and begins to drink, and drink, and drink. Over time, it slurps the water down to the very last drop and balloons in size, becoming unable to move at more than an amble. The water sustains the tiddalik for years, while the land suffers a great drought. In fact, the only moisture to be found in any quantity might be the damp divot the tiddalik's great, sloshing body leaves behind as it travels. Desperate locals trying to undo a tiddalik's work are met with the creature's gullet or torrents of water. A tiddalik is lazy and unlikely to start a fight of its own volition or even to chase a fleeing attacker, having little interest in anything but slaking its immense thirst. In its death throes, the tiddalik divulges its water stores, breaking free in a final tide of mass destruction that swamps the surrounding area. Woe betide any unlucky enough to find themselves beset by a tiddalik's gluttony!",,7
Tidehawk,"Tidehawks, avian embodiments of the sea and rain, nest in deep underwater crevasses and glide among waves. They feed mostly on large sea life and rise above the surface during or in the aftermath of a rainstorm to bask in the fresh moisture of the air. Though tidehawks hail from the same mystical family as the legendary phoenix, the two rarely interact due to their different outlooks and elemental affiliations. Phoenixes see tidehawks as flighty and unreliable, while tidehawks view their fiery kin as self-righteous do-gooders who can't resist meddling in mortal affairs. Only particularly evil threats to natural environments can bring them together.",,12
Tiefling Adept,"Tieflings are planar scions with fiendish blood. One of the most common types is pitborn, who bear a demonic corruption infesting their mortal bloodline. Some strive to live above their forebear’s fiendish reputation, but many, such as this tiefling adept, simply accept their label and delve fully into evil.",Planar Scion,3
Tiger,"Tigers are solitary and territorial hunters, using their striped hides to blend into the forests and jungles they call home and preferring to attack with surprise.",Cat,4
Tikbalang,"Tikbalangs are forest creatures that delight in leading travelers astray. They deceive and mislead with their formidable magic, leaping from tree to tree while laughing, or neighing, uncontrollably. While not malicious, neither are they empathetic to the plight of their victims. They would sooner forget about those whom they have played tricks on and leave them to die than lead them back to their intended path through guilty altruism. A tikbalang's occult magic stems from the esoteric mystery of believing the lie. In the moment of crafting illusions or conjuring extradimensional spaces, the tikbalang themself believes that what they are creating is real. This makes their spells harder to resist, and this same principle also makes them very effective liars. But this readiness to believe also makes them susceptible to deceptions and illusions in turn, and they are particularly vulnerable to mind games. Lone travelers without magic of their own often learn riddles, sleight of hand, or other tricks to defend against a tikbalang's oft-deadly entertainment. Other whispers suggest wearing one's shirt inside-out to confuse the creatures, or passing by a tikbalang's forest quietly to avoid drawing their attention. Unlike most illusionists, tikbalangs can also rely on their physical prowess should the need arise. They have unusually long legs that end in cloven hooves, and they stand as tall as ogres when upright. Skilled climbers and leapers, they are also well known for being master wrestlers, where their long limbs put them at a distinct advantage over their foes. They have elongated faces that, when combined with their well-kempt hair, suggest an equine appearance—although some tikbalangs have saurian or birdlike faces instead.",,9
Titan Centipede,"These colossal, solitary centipedes claim vast hunting grounds.",Centipede,9
Tixitog,"Tixitogs are a species of bizarre aberrations that make their homes in the dens of giant spiders. Immune to poison and able to traverse sticky webs thanks to the thick slime that covers their bodies, tixitogs steal food cocooned in spider lairs and prey on spiders themselves, but they are careful never to kill so many that their food supply runs out. Their favorite meal, however, is the odd adventurer or spelunker who stumbles into their nest. These strange creatures have oblong bodies coated in a viscous and transparent slime, three large black eyes, and eight thick, multi-jointed limbs, four of which are inverted and point upward, allowing the monster to easily crawl on either the ceiling or floor of narrow caverns and squeeze through narrow spaces. Their jaws appear small and tubular when closed but peel apart and stretch to terrifying proportions when opened, as their dozens of pointed teeth part to reveal a freakishly long tongue. A tixitog usually hides from the spiders in the lair it has claimed, not out of fear but to keep the spiders from abandoning the lair and moving elsewhere. When a tixitog emerges from the shadows, most spiders flee from it rather than attack, and the tixitog uses this behavior to direct entire swarms of spiders where it pleases. This is typically bad news for bands of adventurers who find themselves within a tixitog’s lair; in the mass hysteria caused by a skittering swarm of spiders headed straight toward them, spelunkers typically fail to notice the more dangerous threat that follows closely behind.",,3
Tolokand,"Streams run dry. The earth cracks. Green leaves brown and shatter. And the creature walks on. The faceless, unknowable tolokands wander the land, bringing desolation with every footfall—belching poisonous smoke, blighting plant life, cracking the earth asunder, and even staining the ground with their foul blood. They turn habitable places into wastelands, which has earned tolokands the name “waste walkers.” These walking forces of destruction don't make their motives known. They remain unmoved by any pleas or threats levied at them, and they fight off attacks only so that they can return to their grim business. However, they have one consistent tendency: they travel to environments on the brink. A tolokand appears in a land wracked by famine or a natural disaster to give it the last push into oblivion. Tolokands are mercifully few in number. Since they appear so rarely, it's unclear whether there are just a few individuals or several dozen. Clearly, more than one exists, though, because their patterned soles are as distinctive as fingerprints. Often, these smoking footprints are all that remain in a blighted land.",,15
Tomb Giant,"Masters of mausoleums and keepers of crypts, the dread creatures called tomb giants are anathema to all living beings, but especially so to other types of giants. Long ago, so the legends say, tomb giants sold their souls in exchange for unfathomable necromantic powers. With whom they made this foul bargain remains a mystery—if the rumors hold any truth at all. Still, tomb giants' power over undeath remains undeniable, and nearly all of them embrace a fervent passion for necromancy. Tomb giants construct massive gothic settlements in haunted valleys and on forsaken hillsides, far enough away from the societies of smaller people that they remain relatively undisturbed, but close enough that they can raid the graveyards of nearby villages with impunity. Elder tomb giants—those who have animated countless hordes of humanoid zombies and skeletons and yearn for even greater challenges—enjoy the thrill of subduing, slaying, and reanimating their fellow giants. Taiga giants in particular are choice prey to an experienced tomb giant, as their larger cousins make formidable undead guardians and warriors. A tomb giant views its mortal life as only one part of its existence. After death, most tomb giants are themselves reanimated as undead, who then continue to practice their necromantic arts.",Giant,12
Tomb Raider,Great treasure awaits those willing to explore the hazardous depths of the world's ancient tombs and forgotten dungeons. Some tomb raiders seek riches of bygone eras; others recover pieces of history thought lost to the sands of time.,Explorers,5
